address,building_count,company,house,house_count,name,price,type,url,year
(湖里南山路)华昌路5号,1栋,厦门华星开发商,,103户,华海苑,,板楼,https://xm.lianjia.com/xiaoqu/3911057375503/,2008年建成 
"(湖里大唐世家)圆山南路, 湖里湖里区园山南路349-355号",5栋,宝嘉厦门房地产开发有限公司,,288户,嘉诚花园,,板楼,https://xm.lianjia.com/xiaoqu/3911053707230/,2003年建成 
(湖里湖里大道)兴隆路457-471号,2栋,美的置地,,221户,新湖花园,,板楼,https://xm.lianjia.com/xiaoqu/3914736672174513/,1997年建成 
(湖里殿前)殿前六路铁路宿舍小区,6栋,铁路局,,47户,铁路宿舍小区,,板楼,https://xm.lianjia.com/xiaoqu/3916543767104151/,1993年建成 
(湖里东渡)海山路47号,3栋, 合肥万科瑞翔地产有限公司,,46户,气象局宿舍,,板楼,https://xm.lianjia.com/xiaoqu/3920021608228076/,1988年建成 
(湖里南山路)兴隆路66号,1栋, 合肥万科瑞翔地产有限公司,,46户,元创汽配电商园,,平房,https://xm.lianjia.com/xiaoqu/3920035225430798/,2002年建成 
(湖里五缘湾)护安路707号,1栋,无开发商,,79户,新捷创营运中心,,板楼,https://xm.lianjia.com/xiaoqu/3912743416229563/,2000年建成 
(湖里五缘湾)岭下西路257号,1栋,暂无信息,,120户,中众合大厦,,未知类型,https://xm.lianjia.com/xiaoqu/3920035508752451/,暂无信息 
"(湖里五缘湾)金湖路516号, 金湖路216号",1栋, 重庆汇东房地产开发有限公司,,400户,天虹广场,,板楼,https://xm.lianjia.com/xiaoqu/3920040357442744/,2008年建成 
(湖里机场区)翔云一路118号,1栋,暂无信息,,1户,翔云一路118号,,未知类型,https://xm.lianjia.com/xiaoqu/3920026767337309/,暂无信息 
(湖里殿前)湖里区长浩东路麦德龙旁,1栋,厦门市金吉泰房地产开发有限公司,,1388户,城里,,塔楼,https://xm.lianjia.com/xiaoqu/3920022912014719/,2018年建成 
(湖里南山路)华嘉路32到16号,3栋,无开发商,,177户,南山大厦,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057379527/,2004年建成 
(湖里保税区)象兴四路21号,1栋,上海信盛置业有限公司,,28户,银盛大厦,,板楼,https://xm.lianjia.com/xiaoqu/3920028070181607/,2010年建成 
(湖里万达广场)金钟路,16栋,厦门市东区开发有限公司,,2590户,高林居住区三里,,塔楼,https://xm.lianjia.com/xiaoqu/3911055510139/,2003年建成 
(湖里五缘湾)五缘西一里63到97号,22栋,厦门市中铁源昌置业有限公司,,711户,中铁元湾,,塔楼/板楼,https://xm.lianjia.com/xiaoqu/3911057573289/,2013年建成 
(湖里五缘湾)日圆三里1到12号,12栋,厦门建发集团有限公司,,1360户,建发中央湾区一期,,板楼,https://xm.lianjia.com/xiaoqu/3911100333509/,2013年建成 
(湖里江头)台湾街102到110号,1栋,厦门明发集团有限公司,,361户,明发豪庭,,塔楼,https://xm.lianjia.com/xiaoqu/3911055129058/,2003年建成 
(湖里东渡)金鼎里,10栋,厦门特房建设工程集团有限公司,,984户,都市港湾,,塔楼/板楼/塔板结合,https://xm.lianjia.com/xiaoqu/3911056361492/,1990年建成 
"(湖里枋湖)枋湖东四里54到67号, 枋湖东四里66号, 枋湖东四里57-102号",3栋,厦门特工房产有限公司,,537户,水晶森林二期,,板楼,https://xm.lianjia.com/xiaoqu/3911057454546/,2009年建成 
(湖里五缘湾)五缘东二里1到17号,36栋,厦门国贸金海湾投资有限公司,,835户,国贸蓝海,,板楼,https://xm.lianjia.com/xiaoqu/3911100121031/,2006年建成 
(湖里祥店)岭南里1到20号,8栋,厦门恒泰衍房地产开发有限公司,,308户,博士花园,,板楼,https://xm.lianjia.com/xiaoqu/3911058683919/,1996年建成 
